Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Status
2021-05-24;ADA;0,35;2019-02-19;0,0;11794,88;OK
2021-05-24;ADA;49,0;2019-02-19;0,0;12784,32;OK
2021-05-24;ADA;48,1;2019-02-19;0,0;409,95;OK
2021-05-24;ADA;712,0;2019-02-19;0,0;6068,29;OK
2021-05-24;ADA;118,9;2019-02-19;0,0;1013,37;OK
2021-05-24;ADA;45,5;2019-02-19;0,0;387,79;OK
2021-05-24;ADA;575,5;2019-02-19;0,0;4904,92;OK
2021-05-24;ADA;1924,5;2019-02-19;0,0;2811,02;OK
2021-05-24;ADA;51,6;2019-02-19;0,0;75,37;OK
2021-05-24;ADA;3282,4;2019-02-19;0,0;4794,43;OK
2021-05-24;ADA;161,8;2019-02-19;0,0;236,33;OK
2021-05-24;ADA;40,0;2019-02-19;0,0;58,43;OK
2021-05-24;ADA;46,0;2019-02-19;0,0;67,19;OK
2021-05-24;ADA;151,4;2019-02-19;0,0;221,14;OK
2021-05-24;ADA;807,2;2019-02-19;0,0;1179,03;OK
2021-05-24;ADA;456,2;2019-02-19;0,0;666,35;OK
2021-05-24;ADA;156,0;2019-02-19;0,0;227,86;OK
2021-05-24;ADA;250,0;2019-02-19;0,0;365,16;OK
2021-05-24;ADA;99,7;2019-02-19;0,0;145,63;OK
2021-05-24;ADA;237,3;2019-02-19;0,0;346,61;OK
2021-05-24;ADA;52,3;2019-02-19;0,0;76,39;OK
2021-05-24;ADA;1036,1;2019-02-19;0,0;1513,38;OK
2021-05-26;THETA;20,166;2019-04-10;0,0;4999,61;OK
2021-05-26;THETA;106,934;2019-04-10;0,0;2372,96;OK
2021-05-26;THETA;47,0;2021-05-11;0,0;1042,97;OK
2021-05-26;THETA;47,0;2019-02-19;0,0;1042,97;OK
2021-05-26;THETA;24,366;2021-05-11;0,0;540,7;OK
2021-05-26;THETA;20,069;2021-05-11;0,0;4999,61;OK
2021-05-26;THETA;30,254;2021-05-11;0,0;4999,61;OK
2021-05-26;THETA;235,944;2021-05-11;0,0;4999,61;OK
2021-05-26;THETA;19,367;2021-05-11;0,0;1549,07;OK
2021-05-26;THETA;43,14;2019-02-19;0,0;3450,55;OK
2021-05-26;THETA;20,161;2019-02-19;0,0;4999,61;OK
2021-05-26;THETA;181,0;2019-02-19;0,0;4999,61;OK
2021-05-26;THETA;66,601;2019-02-19;0,0;4999,61;OK
2021-05-26;THETA;19,098;2019-02-19;0,0;242,32;OK
2021-05-26;THETA;5,855;2021-05-25;0,0;74,29;OK
2021-05-26;THETA;29,635;2021-05-25;0,0;316,61;OK
